Person,Friendships
184,1
344,1
635,1
867,1
1296,1
1358,1
1425,1
1501,1
1505,1
1845,1
2521,1
2634,1
2736,1
2867,1
3099,1
3230,1
3476,1
3561,1
3593,1
3694,1
3764,1
3823,1
3842,1
3936,1
4021,1
4409,1
4626,1
4913,1
5019,1
5141,1
5264,1
5660,1
5666,1
5884,1
5964,1
6105,1
6291,1
6457,1
6713,1
6923,1
8062,1
8202,1
8228,1
8239,1
8254,1
8562,1
8630,1
8671,1
8722,1
9333,1
9367,1
9372,1
9520,1
9651,1
9831,1
10053,1
10254,1
10678,1
10829,1
10834,1
10925,1
11082,1
11277,1
11324,1
11342,1
11485,1
12034,1
12065,1
12239,1
12307,1
12511,1
12618,1
12673,1
12792,1
12825,1
12970,1
13031,1
13162,1
13321,1
13702,1
13847,1
13971,1
14154,1
14544,1
14681,1
14731,1
15061,1
15297,1
15383,1
15437,1
15744,1
15787,1
15804,1
15873,1
16309,1
16353,1
16793,1
16964,1
17101,1
17360,1
17717,1
18125,1
18364,1
18371,1
1629,2
1736,2
2872,2
3000,2
3009,2
3526,2
3560,2
3789,2
3904,2
4314,2
4730,2
4810,2
5127,2
5490,2
6179,2
6480,2
6779,2
7564,2
7753,2
7911,2
8043,2
8380,2
8885,2
9146,2
9274,2
9892,2
9909,2
9930,2
10130,2
10282,2
10487,2
11004,2
11253,2
11403,2
11925,2
12075,2
13047,2
13272,2
13362,2
13369,2
14379,2
14598,2
14713,2
14730,2
15065,2
15312,2
15371,2
15408,2
15571,2
16879,2
16958,2
17105,2
17370,2
17767,2
18007,2
18023,2
18307,2
18457,2
354,3
633,3
950,3
1011,3
1410,3
1451,3
1558,3
1835,3
1966,3
2122,3
2339,3
2444,3
2466,3
2988,3
3081,3
3209,3
3262,3
3310,3
3483,3
3629,3
3948,3
4998,3
5041,3
5317,3
5795,3
6107,3
6191,3
7259,3
7569,3
7812,3
7978,3
8003,3
8013,3
8021,3
8959,3
9039,3
9404,3
9514,3
9696,3
9895,3
10217,3
10605,3
10774,3
11008,3
11346,3
11651,3
12474,3
12524,3
13011,3
13171,3
13419,3
14086,3
14200,3
14565,3
14684,3
15169,3
15172,3
15448,3
16158,3
16415,3
16830,3
17023,3
17041,3
17128,3
17307,3
17473,3
17487,3
17526,3
17708,3
18449,3
5,4
203,4
501,4
688,4
813,4
975,4
1217,4
1221,4
1446,4
1913,4
1920,4
1921,4
2007,4
2479,4
3221,4
3347,4
3533,4
3537,4
3650,4
3713,4
4270,4
4300,4
4409,4
4509,4
4669,4
4940,4
5372,4
5789,4
6306,4
6589,4
6870,4
7342,4
7599,4
7943,4
8967,4
9457,4
10153,4
10180,4
10461,4
10472,4
10510,4
10796,4
10802,4
10935,4
11821,4
11843,4
11893,4
12451,4
13684,4
13836,4
13935,4
14169,4
14183,4
14221,4
14455,4
14815,4
15157,4
15212,4
15355,4
15599,4
15657,4
16336,4
16458,4
16643,4
16833,4
17107,4
17144,4
17271,4
17699,4
